"w1","w2","w3","freq"
"called","text","messages",2
"came","billion","shares",2
"camp","eating","computer-aided",2
"campbell","home","famed",2
"can","affect","eyes",2
"can","find","way",2
"can","get","ready",2
"can","go","back",2
"can","help","one",2
"can","imagine","–",2
"can","include","list",2
"can","let","know",2
"can","make","sure",2
"can","one","thing",2
"can","produce","fertile",2
"can","still","remember",2
"can’t","believe","’s",2
"can’t","go","wrong",2
"can’t","help","feel",2
"cant","believe","hes",2
"cant","believe","im",2
"cant","majority","representing",2
"cant","see","’m",2
"cant","wait","get",2
"cant","wait","meet",2
"captain","zach","parise",2
"card","following","challenges",2
"carefully","’s","phone",2
"cashiers","nc","gazed",2
"catcher","struck","seven",2
"catholic","church","teaches",2
"cbs","today","cant",2
"celebrated","one","year",2
"celebrated","th","wedding",2
"center","jason","arnott",2
"centers","disease","control",2
"centers","serve","million",2
"cents","per","share",2
"chief","executive","stephen",2
"child","touch","arm",2
"cinco","de","mayo",2
"city","council","member",2
"city","council","will",2
"civil","rights","activists",2
"civil","rights","movement",2
"cle","de","peau",2
"clocking","½","hours",2
"club","rumbles","beneath",2
"coach","child","touch",2
"coach","george","karl",2
"coach","nate","mcmillan",2
"coach","pat","shurmur",2
"collective","bargaining","law",2
"collins","relentlessly","inventive",2
"come","happy","hour",2
"come","long","way",2
"come","revelation","say",2
"comes","work","dictionary",2
"comment","section","ill",2
"commercial","real","estate",2
"commercials","cbs","today",2
"community","high","school",2
"compelled","shut","base",2
"complete","entertainment","even",2
"completing","term","office",2
"computer-aided","design","software",2
"concentrate","much","else",2
"congress","quiet","rooms",2
"conservative","advocacy","group",2
"consider","bringing","throwaway",2
"consumers","browse","buy",2
"contacts","people","recently",2
"contain","sensitive","data",2
"contains","wealth","private",2
"contents","social","media",2
"cookies","pie","oh",2
"cost","per","person",2
"costs","us","additional",2
"council","will","make",2
"count","aggravated","assault",2
"county","prosecutor’s","office",2
"county","sheriffs","office",2
"couple","nights","ago",2
"couple","weeks","ago",2
"couple","years","ago",2
"courts","said","ok",2
"crashes","older","devices",2
"create","jobs","said",2
"create","websites","let",2
"credit","card","fraud",2
"credit","card","numbers",2
"cried","loud","voice",2
"crops","iras","kind",2
"cup","grated","cheese",2
"cupcakes","cookies","pie",2
"current","former","employees",2
"currently","receive","health",2
"dale","sveum","said",2
"damn","need","go",2
"dark","brown","hair",2
"data","can","include",2
"data","mind","losing",2
"data","web","browsing",2
"david","backes","-",2
"day","diamondbacks","catcher",2
"day","laborers","said",2
"dc","united","-",2
"death","house","fire",2
"definitely","going","get",2
"democratic","national","convention",2
"department","environmental","protection",2
"departments","inspector","general",2
"design","software","robotc",2
"designed","look","like",2
"desk","total","fog",2
"diamondbacks","catcher","struck",2
"dictionary","vidal","sassoon",2
"didn’t","look","good",2
"didnt","get","chance",2
"didnt","good","job",2
"didnt","make","cut",2
"didnt","take","pictures",2
"didnt","think","anything",2
"didnt","want","get",2
"diego","county","fair",2
"different","skin","type",2
"difficult","concentrate","much",2
"diminishing","mental","acuity",2
"dining","room","table",2
"director","john","collins",2
"disgusting","simply","outrageous",2
"division","felt","compelled",2
"doctor","handles","aspect",2
"doesn’t","look","like",2
"doesn’t","mean","’s",2
"dollars","per","hour",2
"dolphin","meat","used",2
"domain","economic","development",2
"don’t","go","around",2
"don’t","know","exactly",2
"don’t","like","surprises",2
"don’t","tell","’m",2
"don’t","want","work",2
"donation","ask","farmland",2
"done","right","locally",2
"done","unto","us",2
"dont","even","want",2
"dont","forget","check",2
"dont","forget","days",2
"dont","intend","nothing",2
"dont","know","can",2
"dont","know","jack",2
"dont","know","love",2
"dont","let","anyone",2
"dont","really","understand",2
"dont","think","im",2
"dont","want","know",2
"dont","want","make",2
"dont","want","miss",2
"dont","want","take",2
"double","play","end",2
"doug","armstrong","said",2
"drug","enforcement","administration",2
"drugs","bad","opinion",2
"drying","feel","like",2
"dual","morning","services",2
"dwight","howard","orlando",2
"early","peace","quiet",2
"east","th","street",2
"eating","computer-aided","design",2
"economic","development","projects",2
"economy","based","money",2
"eggs","one","time",2
"else","’m","first",2
"else","used","variation",2
"embarrassment","frustration","diminishing",2
"eminent","domain","economic",2
"employers","sending","subsidized",2
"entertainment","even","culinary",2
"environment","natural","resources",2
"environmental","protection","agency",2
"equipped","battle","san",2
"especially","launch","date",2
"essex","county","prosecutor’s",2
"established","states","regulators",2
"even","culinary","experience",2
"even","elementary","school",2
"even","millions","people",2
"even","though","’s",2
"even","though","dont",2
"even","though","still",2
"evening","makes","cacophony",2
"every","day","life",2
"every","day","since",2
"every","day","thats",2
"every","four","strokes",2
"every","neuron","brain",2
"every","single","one",2
"everybody","else","used",2
"everyone","go","follow",2
"everyone","good","weekend",2
"exchanges","governing","board",2
"exchanges","government","agencies",2
"exchanges","required","create",2
"executive","director","oregon",2
"executive","stephen","berberich",2
"existing","phone","searches",2
"experience","less","like",2
"experiencing","embarrassment","frustration",2
"eye","doctor","handles",2
"eyes","reddening","drying",2
"fact","nothing","potential",2
"famed","st","airborne",2
"farmland","crops","iras",2
"favorite","book","character",2
"february","last","year",2
"federal","law","requires",2
"federal","poverty","level",2
"federal","reserve","bank",2
"feel","bit","like",2
"feel","like","good",2
"feel","like","sand",2
"feeling","real","good",2
"feels","like","real",2
"feet","service","conducted",2
"fell","new","york",2
"fellowship","studying","jewish",2
"felt","compelled","shut",2
"final","three","holes",2
"find","way","get",2
"finished","first","draft",2
"finished","third","-",2
"first","day","spring",2
"first","one","saw",2
"first","person","sit",2
"first","round","picks",2
"first","things","general",2
"first","time","played",2
"first","two","-bats",2
"fog","experiencing","embarrassment",2
"follow","back","like",2
"follow","us","twitter",2
"foods","genetically","modified",2
"foreigners","bind","lord",2
"former","house","speaker",2
"former","nba","player",2
"former","ohio","state",2
"fort","campbell","home",2
"forty","girls","signed",2
"four","years","ago",2
"fredman","participated","art",2
"free-agent","center","jason",2
"free","reduced","lunches",2
"freshman","running","back",2
"friend","high","school",2
"friend","whole","world",2
"friend","will","always",2
"fruit","cant","even",2
"frustrating","day","diamondbacks",2
"frustration","diminishing","mental",2
"game","set","play-action",2
"games","vs","la",2
"gave","begotten","son",2
"gazed","waterfalls","admired",2
"general","manager","doug",2
"george","karl","said",2
"get","answer","correct",2
"get","back","blogging",2
"get","back","place",2
"get","get","get",2
"get","irritated","say",2
"get","little","bit",2
"get","many","suggestions",2
"get","warrant","obtain",2
"girls","signed","camp",2
"give","thanks","car",2
"give","thanks","everything",2
"give","thanks","god",2
"glorified","book","tape",2
"gloucester","twp","—",2
"go","always","going",2
"go","around","talking",2
"go","back","give",2
"go","back","time",2
"go","didnt","go",2
"go","home","eat",2
"go","mommy","things",2
"go","see","temple",2
"go","way","back",2
"god","loved","world",2
"going","another","house",2
"going","come","revelation",2
"going","live","boyfriend",2
"going","please","listen",2
"gon","make","dance",2
"good","food","guide",2
"good","luck","happy",2
"good","morning","twitter",2
"good","things","come",2
"got","home","work",2
"gov","john","kasich",2
"governing","board","cant",2
"government","agencies","nonprofits",2
"government","sometimes","asserts",2
"government","wont","solve",2
"gps","location","data",2
"grand","garden","arena",2
"grassy","lawn","–",2
"greatly","reduced","crashes",2
"green","building","group",2
"gross","domestic","product",2
"guess","likes","youre",2
"half","hotel","rooms",2
"handles","aspect","rosacea",2
"happened","today","–",2
"happy","birthday","may",2
"hard","financial","times",2
"harden","existing","phone",2
"hardest","working","man",2
"hardly","going","come",2
"harry","potter","playlist",2
"hate","feeling","like",2
"haters","gonna","hate",2
"havent","read","yet",2
"head","shame","listen",2
"health-insurance","industry","brokers",2
"health","benefit","costs",2
"health","care","bill",2
"health","care","costs",2
"health","human","services",2
"health","insurance","work",2
"heard","several","people",2
"heartland’s","total","budget",2
"help","one","another",2
"helping","others","always",2
"hes","going","make",2
"high","blood","pressure",2
"high","school","manhattan",2
"hiked","drove","photographed",2
"hills","duck","room",2
"history","passwords","contents",2
"hit","shutout","angels",2
"ho","ho","ho",2
"holtz","broken","china",2
"home","famed","st",2
"hope","dont","get",2
"hope","youre","well",2
"hopefully","can","get",2
"horse’s","best","race",2
"hosting","great","event",2
"hotel","congress","quiet",2
"hotel","rooms","nearby",2
"hour","session","will",2
"hours","per","week",2
"hours","time","director",2
"house","caught","fire",2
"human","rights","commission",2
"illinois","state","police",2
"im","big","fan",2
"im","going","get",2
"im","going","miss",2
"im","going","see",2
"im","happy","time",2
"im","looking","forward",2
"im","looking","next",2
"im","really","proud",2
"im","starting","get",2
"im","sure","even",2
"im","sure","ill",2
"im","sure","teams",2
"imagine","many","people",2
"important","now","get",2
"incident","arrest","—",2
"include","list","contacts",2
"including","california","courts",2
"income","tax","revenues",2
"incorporated","item","c-",2
"industry","brokers","exchanges",2
"infield","single","two",2
"information","government","sometimes",2
"information","phone","latter",2
"injuries","reported","report",2
"insurance","work","learn",2
"intense","pace","surprised",2
"inventive","production","feels",2
"iras","kind","target",2
"irritated","say","cant",2
"isn’t","just","disgusting",2
"isnt","enough","space",2
"iso","chief","executive",2
"issince","posting","wall",2
"issues","said","iso",2
"item","c-","pp",2
"ive","already","listed",2
"ive","always","wanted",2
"ive","got","go",2
"ive","got","two",2
"ive","gotten","used",2
"jail","lieu","bail",2
"jane","austen’s","fighting",2
"jason","arnott","-",2
"jefferson","airplane’s","white",2
"jersey","education","association",2
"jesus","cried","loud",2
"jewish","american","heritage",2
"jewish","high","school",2
"jewish","texts","artists",2
"jobs","united","states",2
"john","collins","relentlessly",2
"joseph","county","police",2
"joseph","high","school",2
"june","year","without",2
"just","around","corner",2
"just","disgusting","simply",2
"just","dont","get",2
"just","everyone","else",2
"just","go","flow",2
"just","last","season",2
"just","last","week",2
"just","like","one",2
"just","matter","changing",2
"just","much","fun",2
"just","need","time",2
"just","nobody","likes",2
"just","one","game",2
"just","one","thing",2
"just","sit","around",2
"just","treated","like",2
"just","two","us",2
"just","two","weeks",2
"just","two","years",2
"just","want","drink",2
"just","wanted","talk",2
"keep","coming","back",2
"keep","going","please",2
"keep","mind","though",2
"kids","—","really",2
"killed","span","five",2
"kind","target","marketing",2
"know","age","chrome",2
"know","can","make",2
"know","get","home",2
"know","whats","going",2
"know","will","always",2
"knowhere","ur","th",2
"knows","hes","going",2
"knows","true","’s",2
"korean","traditional","music",2
"large","mixing","bowl",2
"last-act","action","sequence",2
"last","night","went",2
"last","school","year",2
"last","six","years",2
"last","three","years",2
"last","week","police",2
"last","week","said",2
"last","year","also",2
"last","year","didnt",2
"last","year","now",2
"late","last","week",2
"late","one","night",2
"late","s","early",2
"latin","american","history",2
"latter","might","better",2
"launch","date","approaches",2
"launch","queensland","good",2
"law","enforcement","officers",2
"law","enforcement","officials",2
"law","requires","exchanges",2
"leaders","fort","campbell",2
"learn","employers","sending",2
"least","got","one",2
"left","behind","two",2
"left","june","year",2
"less","like","glorified",2
"let","anyone","tell",2
"let","consumers","browse",2
"let","know","think",2
"lets","just","say",2
"lets","make","happen",2
"lets","see","get",2
"lets","take","look",2
"level","mastery","weapon",2
"liberally","unabashed","talking",2
"light","rail","station",2
"like","glorified","book",2
"like","high","school",2
"like","know","will",2
"like","making","difference",2
"like","real","theatrical",2
"like","right","now",2
"like","sand","thrown",2
"like","share","video",2
"like","steak","pork",2
"likely","get","many",2
"likes","youre","likely",2
"list","contacts","people",2
"listen","important","now",2
"listen","mother","weep",2
"little","nervous","first",2
"little","opportunity","nod",2
"living","room","floor",2
"location","data","web",2
"long","time","ago",2
"look","forward","seeing",2
"look","forward","working",2
"look","like","episode",2
"looking","forward","new",2
"looking","forward","playing",2
"looks","like","just",2
"los","angeles","ap",2
"los","angeles","film",2
"losing","parting","lot",2
"lot","sensitive","personal",2
"loving","rome","commercials",2
"lucky","hope","see",2
"luther","king","jr",2
"mac","n","cheese",2
"made","feel","better",2
"made","look","forward",2
"made","right","decision",2
"majority","representing","health-insurance",2
"make","choice","accept",2
"make","cut","included",2
"make","dreams","come",2
"make","look","good",2
"make","sure","’re",2
"make","sure","can",2
"make","sure","check",2
"make","sure","everything",2
"make","us","care",2
"makes","cacophony","sounds",2
"makes","difficult","concentrate",2
"makes","perfect","sense",2
"man","one","can",2
"manager","dale","sveum",2
"manager","doug","armstrong",2
"many","different","ways",2
"many","phone","calls",2
"marjory","trash","heap",2
"marketing","isn’t","just",2
"maryvale","baseball","park",2
"mastery","weapon","att",2
"may","akron","civic",2
"may","little","bit",2
"may","want","harden",2
"may","well","fall",2
"may","wishes","come",2
"mcgowan","said","county",2
"media","accounts","believe",2
"meeting","last","week",2
"meeting","registration","information",2
"members","us","military",2
"men","women","marrying",2
"mental","acuity","every",2
"messages","photos","video",2
"metta","world","peace",2
"mg","sodium","g",2
"mgm","grand","garden",2
"might","better","option",2
"million","people","including",2
"millions","people","currently",2
"mind","losing","parting",2
"minimum","critical","damage",2
"minor","vs","happersett",2
"minutes","per","game",2
"missed","first","two",2
"mom","okay","bow",2
"mommy","damn","need",2
"monday","exchanges","governing",2
"monday","morning","need",2
"money","can’t","buy",2
"monkeyed","spread","passing",2
"monroe","silas","weir",2
"morning","services","sunday",2
"mothers","day","hope",2
"mountain","view","calif",2
"move","new","place",2
"mr","mrs","robert",2
"mrs","robert","lokting",2
"much","better","now",2
"much","else","’m",2
"musicians","actors","taught",2
"nasdaq","stock","market",2
"national","championship","game",2
"national","coach","year",2
"national","guard","troops",2
"national","honor","society",2
"naunton","brook","pu",2
"nc","gazed","waterfalls",2
"nearby","trains","throughout",2
"necessary","defend","danger",2
"need","go","back",2
"need","go","mommy",2
"need","leave","comment",2
"needs","come","back",2
"neuron","brain","screams",2
"never","get","back",2
"never","know","much",2
"new","immigration","law",2
"new","jersey","education",2
"new","jersey","state",2
"new","product","especially",2
"new","years","day",2
"new","years","eve",2
"new","york","elsewhere",2
"new","york","ny",2
"new","york","police",2
"new","york","yankees",2
"next","couple","weeks",2
"next","formula","picks",2
"next","time","ill",2
"next","two","years",2
"next","year","will",2
"nine","goals","assists",2
"nod","sleep","early",2
"none","catholic","friends",2
"nonprofits","established","states",2
"north","mile","road",2
"north","st","louis",2
"northern","new","jersey",2
"nothing","like","baby",2
"nothing","potential","issues",2
"nothing","quite","like",2
"nouveau","violin","case",2
"nov","general","election",2
"now","dont","even",2
"now","get","irritated",2
"now","im","back",2
"now","let","us",2
"oak","regal","prince",2
"obama","administration","said",2
"obama","said","“",2
"observed","traditional","calendars",2
"obtain","information","government",2
"ocean","water","used",2
"october","th","pm",2
"offense","virtually","everybody",2
"offer","advice","drugs",2
"offer","phone","-person",2
"officials","said","people",2
"oh","sweet","lord",2
"oil","hot","add",2
"ok","protect","rights",2
"okay","bow","head",2
"old","friends","dont",2
"old","madison","road",2
"one","can","get",2
"one","coffee","table",2
"one","made","happy",2
"one","misdemeanor","count",2
"one","new","jersey’s",2
"one","next","year",2
"one","night","one",2
"one","thing","ask",2
"one","thing","know",2
"onto","surfaces","eye",2
"opportunity","nod","sleep",2
"original","length","shape",2
"others","th","street",2
"overall","compensatory","pick",2
"pac","american","crossroads",2
"pace","surprised","even",2
"parent","knows","true",2
"parks","visitor","center",2
"participated","art","fellowship",2
"parting","lot","sensitive",2
"passing","offense","virtually",2
"passwords","contents","social",2
"past","couple","months",2
"past","four","years",2
"past","two","days",2
"past","two","decades",2
"past","two","weeks",2
"patrik","berglund","-",2
"peace","quiet","really",2
"people","ask","advice",2
"people","can","get",2
"people","currently","receive",2
"people","don’t","think",2
"people","just","want",2
"people","mental","illness",2
"people","recently","called",2
"per","serving","calories",2
"per","square","mile",2
"percent","fruit","juice",2
"percent","increase","new",2
"percent","last","year",2
"percent","rda","calcium",2
"person","sit","desk",2
"personal","information","phone",2
"petite","purse","bigz",2
"phone","-person","options",2
"phone","bringing","protest",2
"phone","contains","wealth",2
"phone","incident","arrest",2
"phone","latter","might",2
"phone","protest","contain",2
"phone","searches","also",2
"photos","video","gps",2
"picked","cute","little",2
"pitches","first","two",2
"place","success","comes",2
"plagued","windsor","residents",2
"plaintiffs","say","implementation",2
"planned","parenthood","grants",2
"plans","also","offer",2
"play","end","seventh",2
"pleaded","guilty","charges",2
"pleaded","guilty","one",2
"please","listen","important",2
"points","per","game",2
"points","shall","begin",2
"police","required","get",2
"political","science","professor",2
"possibly","go","wrong",2
"post","war","aikido",2
"posting","wall","september",2
"pot","boiling","water",2
"potential","issues","said",2
"pour","just","enough",2
"power","words","liberally",2
"preheat","oven","degrees",2
"president","chief","executive",2
"president","george","w",2
"pretty","good","idea",2
"pretty","sure","theyre",2
"previously","unrelated","idea",2
"price","tag","will",2
"prices","vary","reservations",2
"private","data","can",2
"pro-style","attack","built",2
"product","design","students",2
"product","especially","launch",2
"production","feels","like",2
"production","wizard","oz",2
"programming","robots","intense",2
"promised","build","new",2
"protect","rights","may",2
"protest","contain","sensitive",2
"protest","phone","contains",2
"psychedelic","poster","art",2
"pu","th","hello",2
"public","service","commission",2
"purse","bigz","die",2
"put","back","together",2
"put","work","things",2
"quarter","last","year",2
"quarterback","andrew","luck",2
"queensland","good","food",2
"quiet","really","theyre",2
"quiet","rooms","available",2
"racing","post","arkle",2
"rate","bp","per",2
"rates","per","night",2
"ready","nap","pray",2
"real","estate","agent",2
"real","estate","market",2
"real","housewives","new",2
"real","salt","lake",2
"real","theatrical","experience",2
"really","dont","like",2
"really","really","really",2
"really","substantially","worrying",2
"really","theyre","selling",2
"really","well","especially",2
"reasonable","suspicion","person",2
"receive","health","insurance",2
"recently","called","text",2
"recieve","two","tickets",2
"recovered","onside","kick",2
"red","orange","yellow",2
"red","velvet","cake",2
"red","white","quilts",2
"red","wing","minn",2
"reddening","drying","feel",2
"reduced","crashes","older",2
"regal","prince","oak",2
"regulators","said","monday",2
"relentlessly","inventive","production",2
"replica","costs","us",2
"replied","none","catholic",2
"report","released","last",2
"reported","net","loss",2
"representing","health-insurance","industry",2
"republican","national","committee",2
"request","complete","entertainment",2
"required","create","websites",2
"required","get","warrant",2
"requires","exchanges","government",2
"research","institutions","csiro",2
"residents","two","years",2
"resources","ive","already",2
"return","original","length",2
"revelation","say","worrying",2
"rich","give","poor",2
"richard","cynthia","murphy",2
"right","age","repair",2
"right","now","dont",2
"right","now","just",2
"right","now","weve",2
"right","now","youre",2
"right","search","phone",2
"rights","may","want",2
"rise","even","millions",2
"risen","past","months",2
"robotc","software","programming",2
"robots","intense","pace",2
"rome","commercials","cbs",2
"rooms","available","upon",2
"rooms","nearby","trains",2
"rosacea","can","affect",2
"round","th","overall",2
"rumbles","beneath","half",2
"running","backs","coach",2
"running","dont","think",2
"running","game","set",2
"rwanda","fredman","participated",2
"s","early","s",2
"sad","thing","issince",2
"safety","health","administration",2
"said","“","come",2
"said","“","don’t",2
"said","along","david",2
"said","can","take",2
"said","dont","go",2
"said","dont","think",2
"said","dont","want",2
"said","felt","like",2
"said","im","sure",2
"said","iso","chief",2
"said","last","time",2
"said","last","week",2
"said","let","go",2
"said","monday","exchanges",2
"said","never","met",2
"said","news","conference",2
"said","ok","protect",2
"said","right","now",2
"said","social","security",2
"said","theres","nothing",2
"said","via","email",2
"said","written","statement",2
"salt","pepper","taste",2
"san","jose","anaheim",2
"sand","thrown","onto",2
"saturday","st","louis",2
"say","cant","see",2
"say","implementation","maps",2
"say","worrying","kids",2
"score","first","win",2
"scorer","regular","season",2
"screams","’m","mommy",2
"search","phone","incident",2
"searches","also","consider",2
"season","taste","salt",2
"season","ticket","holder",2
"seat","belt","laws",2
"second-place","votes","points",2
"second","time","around",2
"see","’m","busy",2
"seemed","like","good",2
"seen","panther","bear",2
"selling","hotel","congress",2
"senate","president","steve",2
"sending","subsidized","coverage",2
"sensitive","data","mind",2
"sensitive","personal","information",2
"separation","church","state",2
"september","theyve","zero",2
"serial","number","range",2
"server","versus","server",2
"service","points","ace",2
"service","points","kills",2
"set","play-action","passes",2
"seven","pitches","first",2
"several","months","ago",2
"several","thousand","years",2
"several","times","year",2
"shabby","tea","room",2
"shall","begin","offer",2
"shame","listen","mother",2
"shares","compared","billion",2
"show","may","akron",2
"shut","base","three-day",2
"signed","camp","eating",2
"signed","free-agent","center",2
"silas","weir","mitchell",2
"since","friday","night",2
"since","started","blogging",2
"single","two","outs",2
"singles","going","steady",2
"sit","desk","total",2
"six","hundred","years",2
"skillet","medium","heat",2
"skillfully","made","machine",2
"sleep","early","peace",2
"slight","chance","showers",2
"small","amount","marijuana",2
"small","town","living",2
"social","media","accounts",2
"society","sports","medicine",2
"sodium","g","fiber",2
"software","programming","robots",2
"software","robotc","software",2
"solar","energy","development",2
"soldiers","killed","span",2
"someone","opened","door",2
"something","don’t","know",2
